Rank,City,Region,# of STEM jobs (2019),% STEM jobs (2019),# of STEM jobs change (2015-2019),% STEM jobs change (2015-2019),# Women in STEM (2019),% Women in STEM (2019),# Women in STEM change (2015-2019),% Women in STEM change (2015-2019),"Median STEM income (all, 2019)","Median STEM income change (all, 2015-2019)","Median STEM income (women, 2019)","Median STEM income change (women, 2015-2019)"
52,"Irving, TX",South,"14,097",10.90%,890,0.40%,"3,784",26.80%,-58,-2.20%,"$85,041 ",6.10%,"$70,889 ",14.70%
53,"Kansas City, MO",Midwest,"19,080",7.30%,"4,813",1.40%,"5,930",31.10%,"2,349",6.00%,"$62,181 ",-1.00%,"$55,478 ",7.50%
54,"Corpus Christi, TX",South,"6,006",4.00%,"1,813",1.30%,"1,289",21.50%,511,2.90%,"$66,523 ",11.60%,"$79,712 ",40.50%
55,"Milwaukee, WI",Midwest,"12,617",4.60%,936,0.40%,"3,571",28.30%,451,1.60%,"$62,292 ",23.90%,"$66,333 ",45.70%
56,"Tampa, FL",South,"12,880",6.50%,"4,714",1.80%,"3,613",28.10%,"1,674",4.30%,"$68,397 ",4.00%,"$52,861 ",18.20%
57,"Wichita, KS",Midwest,"10,491",5.50%,-251,-0.20%,"3,105",29.60%,"1,561",15.20%,"$70,965 ",16.20%,"$62,034 ",12.50%
58,"Anaheim, CA",West,"10,565",5.70%,"2,215",0.90%,"3,035",28.70%,"1,229",7.10%,"$76,056 ",0.60%,"$72,961 ",-8.80%
59,"New Orleans, LA",South,"10,023",5.30%,"1,036",0.50%,"3,526",35.20%,718,3.90%,"$68,012 ",29.90%,"$51,377 ",17.80%
60,"Baltimore, MD",South,"19,920",7.10%,"1,515",0.30%,"7,443",37.40%,441,-0.70%,"$70,560 ",6.20%,"$60,130 ",7.20%
61,"Arlington, TX",South,"11,292",5.60%,"1,958",0.90%,"3,677",32.60%,"1,805",12.50%,"$63,345 ",0.60%,"$62,646 ",-0.20%
62,"Baton Rouge, LA",South,"7,463",7.00%,-12,0.20%,"1,939",26.00%,-5,0.00%,"$72,932 ",43.80%,"$47,549 ",48.30%
